4,998,dump
#
# used SQL: SELECT ROOMS,LIVINGSPACE,PRICE,YEAR FROM LANGNER.REALESTATES_HAMBURG WHERE (ROOMS IS NOT NULL) AND (LIVINGSPACE IS NOT NULL) AND (PRICE IS NOT NULL) AND (YEAR IS NOT NULL)
#
0.0625,0.13407455,0.96758443,0.97162765
0.041666668,0.107913665,0.96758443,0.98058736
0.027777778,0.062132113,0.9685608,0.96316576
0.048611112,0.11314585,0.9685608,0.99950224
0.034722224,0.107913665,0.9685608,0.9701344
0.041666668,0.11445389,0.9685608,0.99950224
0.041666668,0.12753433,0.9687561,0.98805374
0.048611112,0.12753433,0.9687561,0.9850672
0.041666668,0.15892741,0.9687561,0.99601793
0.027777778,0.08960105,0.9689514,0.99950224
0.027777778,0.078482665,0.9691857,0.99950224
0.034722224,0.088293,0.9695372,0.9860627
0.048611112,0.1000654,0.9705136,0.95968145
0.034722224,0.10137345,0.9705136,0.9860627
0.045138888,0.11052976,0.9705136,0.9850672
0.027777778,0.08371484,0.9705136,0.975112
0.11805555,0.16023545,0.9705136,0.99352914
0.055555556,0.10137345,0.9705136,0.95968145
0.041666668,0.094833225,0.97070885,0.9990045
0.027777778,0.094833225,0.9709041,0.99950224
0.034722224,0.09156311,0.9709041,0.99950224
0.027777778,0.10137345,0.9711189,0.99950224
0.03125,0.077828646,0.97129464,0.99950224
0.027777778,0.08371484,0.97148997,0.9910403
0.027777778,0.06867234,0.97148997,0.9780986
0.034722224,0.088293,0.97148997,0.99950224
0.041666668,0.088293,0.97207576,0.9835739
0.034722224,0.09156311,0.9724663,0.9990045
0.041666668,0.11903205,0.9724663,0.9756098
0.041666668,0.13669065,0.9724663,0.99601793
0.034722224,0.12099411,0.9724663,0.9915381
0.034722224,0.123610206,0.9724663,0.95321053
0.034722224,0.09941138,0.97248584,0.9990045
0.038194444,0.10922171,0.9726616,0.9766053
0.034722224,0.09287116,0.9734427,0.97063214
0.034722224,0.11510792,0.9742433,0.9990045
0.027777778,0.088293,0.9748096,0.9990045
0.034722224,0.10137345,0.97512126,1.0
0.03125,0.07128842,0.97539544,0.99950224
0.048611112,0.15369523,0.9763718,0.9840717
0.041666668,0.117724,0.9763718,0.9975112
0.034722224,0.07979071,0.9763913,0.9990045
0.034722224,0.09221713,0.9763913,0.9990045
0.041666668,0.12753433,0.97646946,0.9512195
0.027777778,0.117724,0.97646946,0.99950224
