7,1011,dump
#
# used SQL: SELECT CPU_TYPE,CPU_SPEED,RAM_INSTALLED,HARD_DRIVE,SCREEN_SIZE,WEIGHT,BEST_PRICE FROM NOTEBOOKS_SHOPPINGCOM.PRODUCTS_TEST WHERE (CPU_TYPE IS NOT NULL) AND (CPU_SPEED IS NOT NULL) AND (RAM_INSTALLED IS NOT NULL) AND (HARD_DRIVE IS NOT NULL) AND (SCREEN_SIZE IS NOT NULL) AND (WEIGHT IS NOT NULL) AND (BEST_PRICE IS NOT NULL) AND BEST_PRICE>50
#
0.0,0.32407406,0.48387095,0.06092052,0.85294116,0.98138165,0.75847125
0.0,0.6018519,0.48387095,0.038945183,0.7941177,0.9837011,0.8743203
0.0,0.32407406,0.09677419,0.019411549,0.38970593,0.9942327,0.9405656
0.0,0.6018519,0.09677419,0.0,0.6838236,0.987337,0.72069657
0.0,0.35185185,0.09677419,0.030399218,0.38970593,0.99376255,0.97138286
0.0,0.18518518,0.48387095,0.06092052,0.625,0.99141175,0.88095266
0.0,0.32407406,0.09677419,0.019411549,0.38970593,0.99611336,0.9931319
0.0,0.5092593,0.48387095,0.038945183,0.77941173,0.9842026,0.74152756
0.0,0.18518518,0.22580644,0.030399218,0.50000006,0.99335504,0.96337
0.0,0.6944444,0.22580644,0.030399218,0.6838236,0.987337,0.83288497
0.0,0.32407406,0.09677419,0.019411549,0.30147055,0.9947029,0.96590894
0.0,0.6018519,0.3548387,0.030399218,0.9191176,0.9810682,0.89011014
0.0,0.18518518,0.48387095,0.038945183,0.6764706,0.9879639,0.8706505
0.0,0.2777778,0.032258064,0.009644732,0.77941173,0.9826354,0.7779309
0.0,0.32407406,0.3548387,0.038945183,0.7941177,0.9835757,0.93818694
0.0,0.32407406,0.48387095,0.038945183,0.7941177,0.9842026,0.9244507
0.0,0.32407406,0.09677419,0.019411549,0.30147055,0.99539244,0.9636196
0.0,0.6018519,0.48387095,0.038945183,0.78676474,0.9842026,0.87866783
0.0,0.32407406,0.09677419,0.0,0.3970588,0.99435806,0.96130735
0.0,0.6944444,0.22580644,0.019411549,0.53676474,0.9936058,0.863819
0.0,0.5092593,0.48387095,0.038945183,0.89705884,0.9809115,0.8637801
0.0,0.6018519,0.48387095,0.06092052,1.0,0.9757397,0.85004616
0.0,0.5694444,0.48387095,0.06092052,0.8235294,0.9826981,0.8814082
0.0,0.32407406,0.22580644,0.024294958,0.77941173,0.9842026,0.7790756
0.0,0.7546296,0.48387095,0.038945183,0.77941173,0.982322,0.8136428
0.0,0.5694444,0.48387095,0.06092052,0.7941177,0.98470414,0.8672164
0.0,0.6296296,0.48387095,0.06092052,0.78676474,0.984516,0.83745456
0.0,0.5092593,0.3548387,0.038945183,0.89705884,0.9783413,0.8651537
0.0,0.5694444,0.48387095,0.048712,0.8235294,0.9831369,0.82165563
0.0,0.38425925,0.09677419,0.012086436,0.77941173,0.9842026,0.7390116
0.0,0.8148148,0.22580644,0.038945183,0.61029416,0.99266547,0.62568766
0.0,0.6944444,0.22580644,0.038945183,0.8235294,0.98294884,0.62683237
0.0,0.18518518,0.48387095,0.06092052,0.625,0.9920386,0.86936843
0.0,0.18518518,0.48387095,0.038945183,0.7941177,0.9863967,0.9164356
0.0,0.1388889,0.3548387,0.019411549,0.46323532,0.9940133,0.4894929
0.0,0.32407406,0.09677419,0.019411549,0.38970593,0.9942327,0.9702473
0.0,0.43055555,0.3548387,0.024294958,0.89705884,0.97887415,0.79738826
0.0,0.6018519,0.48387095,0.038945183,0.7941177,0.9842026,0.8706596
0.0,0.35185185,0.09677419,0.019411549,0.38970593,0.99435806,0.9821406
0.0,0.32407406,0.032258064,0.0035404712,0.30147055,0.9942327,0.98260075
0.0,0.32407406,0.48387095,0.06092052,0.8235294,0.98294884,0.79372525
0.0,0.18518518,0.48387095,0.038945183,0.50000006,0.99335504,0.91758263
0.0,0.6018519,0.3548387,0.038945183,0.7941177,0.98545635,0.8763739
